Location Name;Location Code;Deputy Id;Street;City;Postcode;State;Country;Address Notes;Timezone;Business Number
Bald Hills Boat Ramp;BALDH;8;345D Wyampa Rd, Bald Hills QLD 4036, Australia;;;;Australia;Set up at gazebo near the boat ramp. Make sure you do  NOT park in the boat trailer parks.;;
Shorncliffe Pier;SHORN;9;Park Parade, Shorncliffe QLD 4017, Australia;;;;Australia;;Australia/Brisbane;
Chambers Island;CHAMB;10;Chambers Island, Maroochydore QLD 4558, Australia;;;;Australia;;Australia/Brisbane;
Tygum Lagoon;TYGUM;11;Park Rd, Waterford West QLD 4133, Australia;;;;Australia;;Australia/Brisbane;
Thompsons Beach;VICPT;12;W.H.Yeo Park, 2-30 Eagle St, Victoria Point QLD 4165, Australia;;;;Australia;;Australia/Brisbane;
Deception Bay Dog Beach;DECEP;13;Cnr Emerald avenue and Captain Cook Parade, Deception Bay QLD 4508, Australia;;;;Australia;;Australia/Brisbane;
Paradise Point;PARAD;17;Cnr Milton Road & The Esplanade Paradise Point QLD 4216, Austral;;;;Australia;;Australia/Brisbane;
Colmslie Recreation Reserve;COLMS;19;Col Gardner Dr, Morningside QLD 4170, Australia;;;;Australia;;Australia/Brisbane;
JJ Smith Park;JJSm;20;63 Princess Street, Marsden;;;;Australia;;Australia/Brisbane;
Jindalee Boat Ramp;JINDA;21;86 Mount Ommaney Dr, Jindalee QLD 4074, Australia;;;;Australia;;Australia/Brisbane;
Kookaburra Park Boat Ramp;KOOKA;22;54 Caringal Drive, Karana Downs, Qld;;;;Australia;;Australia/Brisbane;
Queens Beach North;QUEEN;24;Corner Griffith Road & Flinders Parade Queens Beach North, Queensland,;;;;Australia;;Australia/Brisbane;
Wellington Point Recreation Rese;WELLI;25;2A Main Rd, Wellington Point QLD 4160, Australia;;;;Australia;;Australia/Brisbane;
Pandanus Beach;WYNNU;28;Pandanus Beach, Wynnum QLD 4178, Australia;;;;Australia;;Australia/Brisbane;
L Story Park;LSTOR;31;Loganlea Boat Ramp;;;;Australia;Setup at the Gazebo;Australia/Brisbane;
OSHC Incursion;OSHC;32;.;;;;Australia;;Australia/Brisbane;
Currumbin;CURRU;33;Currumbin Creek Northside Beach;;;;Australia;;Australia/Brisbane;
Nudgee Beach;NUD;35;Fortitude Street, Nudgee Beach;;;;Australia;;Australia/Brisbane;
Oxley Place;OXL;36;Oxley Place, Sandstone Point;;;;Australia;;Australia/Brisbane;
Office;OFF;37;25 Fryar Street, Victoria Point 4165;;;;Australia;;Australia/Brisbane;
Golden Beach;GOL;38;130 The Esplanade, Golden Beach Qld 4558;;;;Australia;;Australia/Brisbane;
Colleges Crossing;COLCR;43;Colleges Crossing Recreation Reserve;;;;Australia;Park in the first carpark on the right. Find a spot in between the boat ramp and the road.;;
Currumbin RSL;CURBUB;44;165 Duringang Street, Currumbin;;;;Australia;Ideal parking opposite 26 Park Parade;Australia/Brisbane;
Bellara - Pirate Park;Bel;45;133 Sylvan Beach Esplanade, Bellara QLD 4507, Australia;;;;Australia;;Australia/Brisbane;
Springfield;SPR;48;Montello Park, Springfield Lakes;;;;Australia;;Australia/Brisbane;
Riverside Park;RIV;49;Park Road, Karalee;;;;Australia;;Australia/Brisbane;
Joseph Brady Park;JOS;52;181 Riverside Ave, Barellan Point QLD 4306, Australia;;;;Australia;;Australia/Brisbane;
Woody Point Jetty;WOO;53;Woody Point Jetty;;;;Australia;;Australia/Brisbane;
Alberta Park;ALB;55;Alberta Park, Beaudesert Beenleigh Rd, Wolffdene QLD 4207, Australia;;;;Australia;;Australia/Brisbane;
Mount Cotton Community Park;MOU;56;Mount Cotton Community Park, 51-100 Valley Way, Mount Cotton QLD 4165, Australia;;;;Australia;;Australia/Brisbane;
Pumicestone Lions Park;PUM;57;163 Welsby Parade, Bongaree QLD 4507, Australia;;;;Australia;;Australia/Brisbane;
Dohles Rocks;DOH;59;1001 Dohles Rocks Road;Griffin;;;Australia;;Australia/Brisbane;
Riedel Rd;RIE;61;Riedel Rd, Carbrook QLD 4130, Australia;Carbrook;;;Australia;;Australia/Brisbane;
Boat Ramp Cribb Park;BOA;62;North Ipswich QLD 4305, Australia;North Ipswich;;;Australia;;Australia/Brisbane;
Lions Riverside Park;LIO;63;137-169 Cusack Lane;Riverbend;4280;Queensland;Australia;;Australia/Brisbane;
Eagleby Boat Ramp;EAG;64;1 Curlew Crescent;Eagleby;4207;Queensland;Australia;;Australia/Brisbane;
